0,184,360,553,460,771,449,520,727,520,641,438,513,318,251,281,428,808,653,449,261
184,0,176,369,276,587,265,411,543,337,457,255,329,230,67,107,245,625,469,265,183
360,176,0,193,100,411,96,578,367,160,281,150,291,63,193,274,68,449,293,141,99
553,369,193,0,93,218,104,466,174,32,88,115,179,234,302,271,124,256,100,104,292
460,276,100,93,0,311,39,521,267,60,181,93,234,141,209,217,44,349,193,84,199
771,587,411,218,311,0,322,255,136,251,242,333,258,452,520,489,343,188,240,322,510
449,265,96,104,39,322,0,482,278,72,192,54,195,159,198,177,83,360,204,44,187
520,411,578,466,521,255,482,0,391,491,496,428,287,641,385,304,565,443,494,437,594
727,543,367,174,267,136,278,391,0,207,106,289,214,409,476,446,299,81,104,278,466
520,337,160,32,60,251,72,491,207,0,120,82,204,202,269,239,92,288,132,71,259
641,457,281,88,181,242,192,496,106,120,0,203,210,322,390,359,212,168,12,192,380
438,255,150,115,93,333,54,428,289,82,203,0,141,213,187,157,137,370,214,11,177
513,329,291,179,234,258,195,287,214,204,210,141,0,354,262,231,278,296,207,150,307
318,230,63,234,141,452,159,641,409,202,322,213,354,0,257,337,110,490,334,204,57
251,67,193,302,209,520,198,385,476,269,390,187,262,257,0,80,180,558,402,198,209
281,107,274,271,217,489,177,304,446,239,359,157,231,337,80,0,261,527,371,167,289
428,245,68,124,44,343,83,565,299,92,212,137,278,110,180,261,0,380,224,128,167
808,625,449,256,349,188,360,443,81,288,168,370,296,490,558,527,380,0,156,360,547
653,469,293,100,193,240,204,494,104,132,12,214,207,334,402,371,224,156,0,204,392
449,265,141,104,84,322,44,437,278,71,192,11,150,204,198,167,128,360,204,0,188
261,183,99,292,199,510,187,594,466,259,380,177,307,57,209,289,167,547,392,188,0
